颐美园,美林1单元,海力格,乘客电梯,34004301002006050001,颐美园小区美林栋1单元侧美林1号电梯,广州海力格电梯有限公司,2006-05-10,042675,TWJ100/0.4-AS,曳引驱动,16,,,800,1.75,,湖南省雨花区王公塘街77号,,,
颐美园,1栋2单元,广州港日,乘客电梯,31104301002011100014,颐美园小区1栋2单元侧1-2号电梯,广州港日电梯有限公司,2011-08-01,,,曳引驱动,11,,,800,1,,湖南省雨花区王公塘街77号,,,
颐美园,6-3,通力电梯,乘客电梯,32104301022015070001,颐美园小区6栋3单元侧6-3号电梯,通力电梯有限公司,2015-04-13,42277714,THJ2000/0.5-JXW,曳引驱动,15,,,800,1.75,,湖南省雨花区王公塘街77号,,,
颐美园,5-1,西尼电梯,乘客电梯,3210430121201470001,颐美园小区5栋1单元侧5-1号电梯,西尼电梯(日本)株式会社,2013-12-26,,THJ2000/0.5-JXW,曳引驱动,11,,,800,1,,湖南省雨花区王公塘街77号,,,
颐美园,5-3,三菱电梯,乘客电梯,30134301112004120002,颐美园小区5栋3单元侧5-3号电梯,上海三菱电梯有限公司,2013-11-01,03SGA20-946,TKJ2000/0.63-JXW,曳引驱动,13,,,800,1.75,,湖南省雨花区王公塘街77号,,,
颐美园,1-3,三菱电梯,乘客电梯,30134301112004120001,颐美园小区1栋3单元侧1-3号电梯,上海三菱电梯有限公司,2013-11-01,03SGA20-942,TKJ2000/0.63-JXW,曳引驱动,12,,,800,1,,湖南省雨花区王公塘街77号,,,
颐美园,3-右,富士,乘客电梯,30104300002003013220,颐美园小区3栋1单元东侧右号电梯,东莞富士电梯有限公司,2002-05-01,,TKJ,曳引驱动,18,,,800,1.75,,湖南省雨花区王公塘街77号,,,
颐美园,3-1,富士,乘客电梯,30104300002003013221,颐美园小区3栋1单元东侧1号电梯,东莞富士电梯有限公司,2002-05-01,,TKJ,曳引驱动,19,,,800,1.75,,湖南省雨花区王公塘街77号,,,
颐美园,6-2,富士,乘客电梯,30104300002003013222,颐美园小区6栋2单元侧6-2号电梯,东莞富士电梯有限公司,2002-05-01,,TKJ,曳引驱动,12,,,800,1,,湖南省雨花区王公塘街77号,,,
颐美园,2-左,富士,乘客电梯,30104300002003013223,颐美园小区2栋1单元侧2-1号电梯,东莞富士电梯有限公司,2002-05-01,,TKJ,曳引驱动,19,,,800,1.75,,湖南省雨花区王公塘街77号,,,
