['中航物业江门分公司', '', None, '乘客电梯', b'30104407002004010002', '', '', None, '', 'VFMG-1000-C0105', '曳引驱动', None, None, None, None, None, '2017-2-1', '江门市建设三路全球通大厦主楼', '', '', '']
['中航物业江门分公司', '', None, '乘客电梯', b'30104407002004010001', '', '', None, '', 'VFMG-1000-C0105', '曳引驱动', None, None, None, None, None, '2017-2-1', '江门市建设三路全球通大厦主楼', '', '', '']
['中航物业江门分公司', '', None, '乘客电梯', b'31104407002011040001', '', '', None, '', 'HGP-1050-C090', '曳引驱动', None, None, None, None, None, '2017-2-1', '江门市建设三路全球通大厦主楼', '', '', '']
['中航物业江门分公司', '', None, '载货电梯', b'32104407002011040004', '', '', None, '', 'NF-1600-2S60', '曳引驱动', None, None, None, None, None, '2017-2-1', '江门市建设三路全球通大厦主楼', '', '', '']
['凤凰山1号', '会所', None, '乘客电梯', b'31304404002008030033', '', '', None, '', 'GeN2CN-MRL', '曳引驱动', None, None, None, None, None, '2017-12-1', '情侣北路399号凤凰山一号', '', '', '']
['凤凰山1号', '83栋7#', None, '乘客电梯', b'31104404002010110012', '', '', None, '', 'LEHY-II', '曳引驱动', None, None, None, None, None, '2017-9-1', '情侣北路399号凤凰山一号', '', '', '']
['凤凰山1号', '83栋8#', None, '乘客电梯', b'31104404002010110013', '', '', None, '', 'LEHY-II', '曳引驱动', None, None, None, None, None, '2017-9-1', '情侣北路399号凤凰山一号', '', '', '']
['凤凰山1号', '76栋1#', 19, '乘客电梯', b'31304404002009050087', '', '', None, '', 'GeN2-CN-MRL', '曳引驱动', None, None, None, None, None, '2017-12-1', '情侣北路399号凤凰山一号', '', '', '']
['凤凰山1号', '80栋1单元', None, '乘客电梯', b'31104404002010090003', '', '', None, '', 'LEHY-II', '曳引驱动', None, None, None, None, None, '2017-12-1', '情侣北路399号凤凰山一号', '', '', '']
['凤凰山1号', '82栋客梯', None, '乘客电梯', b'31104404002010110011', '', '', None, '', 'LEHY-II', '曳引驱动', None, None, None, None, None, '2017-9-1', '情侣北路399号凤凰山一号', '', '', '']
['凤凰山1号', '78栋3#', 19, '乘客电梯', b'31104404002009050090', '', '', None, '', 'OTIS-SKY', '曳引驱动', None, None, None, None, None, '2017-12-1', '情侣北路399号凤凰山一号', '', '', '']
['凤凰山1号', '83栋客梯（观光）', None, '乘客电梯', b'31304404002010110005', '', '', None, '', 'ELENESSA', '曳引驱动', None, None, None, None, None, '2017-9-1', '情侣北路399号凤凰山一号', '', '', '']
['凤凰山1号', '81栋货梯', None, '乘客电梯', b'31104404002010110010', '', '', None, '', 'LEHY-II', '曳引驱动', None, None, None, None, None, '2017-9-1', '情侣北路399号凤凰山一号', '', '', '']
['凤凰山1号', '76栋2#', 19, '乘客电梯', b'31304404002010050001', '', '', None, '', 'GeN2-CN-MRL', '曳引驱动', None, None, None, None, None, '2017-12-1', '情侣北路399号凤凰山一号', '', '', '']
['凤凰山1号', '81栋客梯', None, '乘客电梯', b'31104404002010110009', '', '', None, '', 'LEHY-II', '曳引驱动', None, None, None, None, None, '2017-9-1', '情侣北路399号凤凰山一号', '', '', '']
['凤凰山1号', '78栋1#', 19, '乘客电梯', b'31104404002009050088', '', '', None, '', 'OTIS-SKY', '曳引驱动', None, None, None, None, None, '2017-12-1', '情侣北路399号凤凰山一号', '', '', '']
['凤凰山1号', '78栋2#', 19, '乘客电梯', b'31104404002009050089', '', '', None, '', 'OTIS-SKY', '曳引驱动', None, None, None, None, None, '2017-12-1', '情侣北路399号凤凰山一号', '', '', '']
['凤凰山1号', '会所', 19, '乘客电梯', b'31104404002008030033', '', '', None, '', 'GeN2-CN-MRL', '曳引驱动', None, None, None, None, None, '2017-12-1', '情侣北路399号凤凰山一号', '', '', '']
['凤凰山1号', '82栋货梯', None, '乘客电梯', b'31104404002010110014', '', '', None, '', 'LEHY-II', '曳引驱动', None, None, None, None, None, '2017-9-1', '情侣北路399号凤凰山一号', '', '', '']
['凤凰山1号', '80栋2单元', None, '乘客电梯', b'31104404002010090002', '', '', None, '', 'LEHY-II', '曳引驱动', None, None, None, None, None, '2017-12-1', '情侣北路399号凤凰山一号', '', '', '']
