阜南县友和国贸商厦购物中心,1#,,乘客电梯,31GZ00315903320170068,,,,GA162906-010,ELCOSMO-E,曳引驱动,6,6,6,1050,1,2018.11.29,阜南县王堰镇关堂街上老税务所,,,
淮滨县滨都公馆,2#楼2#梯,,乘客电梯,,,,,V15N7671,VE1000/1.75-VVVF,曳引驱动,19,19,19,1000,1,2018.12.28,淮滨县朝阳路,,,
淮滨县滨都公馆,2#楼1#梯,,乘客电梯,,,,,V15N7668,VE800/1.75-VVVF,曳引驱动,18,18,18,800,1.75,2018.12.28,淮滨县朝阳路,,,
淮滨县滨都公馆,3#楼1#梯,,乘客电梯,,,,,V15N7672,VE1000/1.75-VVVF,曳引驱动,19,19,19,1000,1.75,2018.12.28,淮滨县朝阳路,,,
淮滨县滨都公馆,1#楼2#梯,,乘客电梯,,,,,V15N7669,VE800/1.75-VVVF,曳引驱动,18,18,18,800,1.75,2018.12.28,淮滨县朝阳路,,,
淮滨县滨都公馆,3#楼2#梯,,乘客电梯,,,,,V15N7673,VE1000/1.75-VVVF,曳引驱动,19,19,19,1000,1.75,2018.12.28,淮滨县朝阳路,,,
淮滨县滨都公馆,1#楼1#梯,,乘客电梯,,,,,V15N7670,VE800/1.75-VVVF,曳引驱动,18,18,18,800,1.75,2018.12.28,淮滨县朝阳路,,,
淮滨县财政局（施耐德）,2#,,乘客电梯,,,,,17NE2515,SEL1000-1.75,曳引驱动,10,10,10,1000,1.75,,淮河大道,,,
淮滨县残疾人联合会,1#,,乘客电梯,,,,,V17NA028,VE800/1.0-VVVF,曳引驱动,6,6,6,800,1,2018.12.29,淮滨县北城青年街中段,,,
淮滨县残疾人联合会,2#,,乘客电梯,,,,,V17NA029,VE800/1.0-VVVF,曳引驱动,6,6,6,800,1,2018.12.29,淮滨县北城青年街中段,,,
淮滨县产业集聚区1#厂房,1#北梯,,载货电梯,,,,,201309191,DF25(1000/0.5-JXW),曳引驱动,4,4,4,1000,0.5,2018.12.28,淮滨县产业集聚区,,,
淮滨县产业集聚区1#厂房,1#南梯,,载货电梯,,,,,201307172,DF25(1000/0.5-JXW),曳引驱动,4,4,4,1000,0.5,2018.12.28,淮滨县产业集聚区,,,
淮滨县产业集聚区2#厂房,2#北梯,,载货电梯,,,,,201309190,DF25(1000/0.5-JXW),曳引驱动,4,4,4,1000,0.5,2018.12.28,淮滨县产业集聚区,,,
淮滨县产业集聚区2#厂房,2#南梯,,载货电梯,,,,,201307171,DF25(1000/0.5-JXW),曳引驱动,4,4,4,1000,0.5,2018.12.28,淮滨县产业集聚区,,,
淮滨县产业集聚区3#厂房,3#北梯,,载货电梯,,,,,201406175,DF25(1000/0.5-JXW),曳引驱动,4,4,4,1000,0.5,2018.12.28,淮滨县产业集聚区,,,
淮滨县产业集聚区3#厂房,3#南梯,,载货电梯,,,,,201406176,DF25(1000/0.5-JXW),曳引驱动,4,4,4,1000,0.5,2018.12.28,淮滨县产业集聚区,,,
淮滨县产业集聚区4#厂房,4#北梯,,载货电梯,,,,,201407054,DF25(1000/0.5-JXW),曳引驱动,4,4,4,1000,0.5,2018.12.28,淮滨县产业集聚区,,,
淮滨县产业集聚区4#厂房,4#南梯,,载货电梯,,,,,201407055,DF25(1000/0.5-JXW),曳引驱动,4,4,4,1000,0.5,2018.12.28,淮滨县产业集聚区,,,
淮滨县产业集聚区5#厂房,5#北梯,,载货电梯,,,,,201503119,DF25(1000/0.5-JXW),曳引驱动,4,4,4,1000,0.5,2018.12.28,淮滨县产业集聚区,,,
淮滨县产业集聚区5#厂房,5#南梯,,载货电梯,,,,,201503119,DF25(1000/0.5-JXW),曳引驱动,4,4,4,1000,0.5,2018.12.28,淮滨县产业集聚区,,,
淮滨县产业集聚区6#厂房,6#北梯,,载货电梯,,,,,201503119,DF25(1000/0.5-JXW),曳引驱动,4,4,4,1000,0.5,2018.12.28,淮滨县产业集聚区,,,
淮滨县产业集聚区6#厂房,6#南梯,,载货电梯,,,,,201503120,DF25(1000/0.5-JXW),曳引驱动,4,4,4,1000,0.5,2018.12.28,淮滨县产业集聚区,,,
