桥市大厦,1#,东莞富士,乘客电梯,311043062620121200018,,东莞市富士电梯有限公司,2012-12-1,20121109,TKJ1000/1.0-JXW,,10,10,10,1000,1,2018-6-28,岳阳市平江县南江镇,,,
上诚世家（电力佳园）,B栋西单元左,杭州斯沃德电梯有限公司,乘客电梯,31104306032016060009,,杭州斯沃德电梯有限公司,2016-2-27,SWDK 15437,WD700P,,19,19,19,1000,1.75,2018-4-24,岳阳市云溪区新埠西路南侧,,,
上诚世家（电力佳园）,B栋西单元右,杭州斯沃德电梯有限公司,乘客电梯,31104306032016060008,,杭州斯沃德电梯有限公司,2016-2-27,SWDK 15436,WD700P,,19,19,19,1000,1.75,2016-4-24,岳阳市云溪区新埠西路南侧,,,
上诚世家（电力佳园）,B栋东单元左,杭州斯沃德电梯有限公司,乘客电梯,31104306032016060007,,杭州斯沃德电梯有限公司,2016-2-27,SWDK 15435,WD700P,,19,19,19,1000,1.75,2018-4-24,岳阳市云溪区新埠西路南侧,,,
上诚世家（电力佳园）,A栋右,杭州斯沃德电梯有限公司,乘客电梯,31104306032016060005,,杭州斯沃德电梯有限公司,2016-2-27,SWDK 15433,WD700P,,22,22,22,1000,1.75,2018-4-24,岳阳市云溪区新埠西路南侧,,,
上诚世家（电力佳园）,A栋左,杭州斯沃德电梯有限公司,乘客电梯,31104306032016060004,,杭州斯沃德电梯有限公司,2016-2-27,SWDK 15432,WD700P,,22,22,22,1000,1.75,2018-4-24,岳阳市云溪区新埠西路南侧,,,
平江县地方税务局,综合办公楼右,日立,乘客电梯,31104306262013070002,,日立电梯（中国）有限公司,2013-6-10,12G509198,HGP-1050-C090,,10,10,10,1050,1.5,2018-4-2,岳阳市平江县开发区天岳大道,,,
龙镶华城,A3栋,日立,乘客电梯,31104306002018040052,,日立电梯（中国）有限公司,2018-4-4,18G001102,MCA-1050-C0120,,27,27,27,1050,2,2018-6-1,岳阳市青年中路与白杨坡路交汇处,,,
龙镶华城,A3栋,日立,乘客电梯,31104306002018040051,,日立电梯（中国）有限公司,2018-4-4,18G001101,MCA-1050-C0120,,27,27,27,1050,2,2018-6-1,岳阳市青年中路与白杨坡路交汇处,,,
扬德·云水湾,11栋,日立,乘客电梯,31104306002018010012,,日立电梯（中国）有限公司,2017-11-20,17G062321,HGE-1050-C090,,12,12,12,1000,1.75,2018-5-18,岳阳临湘市工业园旁,,,
扬德·云水湾,13栋东,日立,乘客电梯,31104306002018010009,,日立电梯（中国）有限公司,2017-11-8,17G062318,HGE-1050-C090,,12,12,12,1000,1.75,2018-5-18,岳阳临湘市工业园旁,,,
扬德·云水湾,10栋,日立,乘客电梯,31104306002018010011,,日立电梯（中国）有限公司,2017-11-8,17G062320,HGE-1050-C090,,12,12,12,1000,1.75,2018-5-18,岳阳临湘市工业园旁,,,
扬德·云水湾,13栋西,日立,乘客电梯,31104306002018010010,,日立电梯（中国）有限公司,2017-11-20,17G062319,HGE-1050-C090,,12,12,12,1000,1.75,2018-5-18,岳阳临湘市工业园旁,,,
康乐生态养生园,住宿楼第8栋,广日,乘客电梯,31104306002018040050,,广州广日电梯工业有限公司,2018-3-1,18253533008,ESW1050-C01.5,,6,6,6,1050,1.5,2018-5-11,岳阳县麻塘镇麻布山脚,,,
岳阳市三荷机场,航站楼,日立,乘客电梯,31104306002018030026,,日立电梯（中国）有限公司,2018-1-11,17G082099,LGE-825-C060,,5,5,5,825,1,2018-4-24,岳阳三荷机场,,,
郑芬香,住宅楼,广日,乘客电梯,31104306262017120012,,广州广日电梯工业有限公司,2017-11-1,13173533037,MAX-E,,8,8,8,825,1,2018-4-18,岳阳市平江县开发区白龙庙旁,,,
李育成,住宅楼,日立,乘客电梯,31104306262017120011,,日立电梯（中国）有限公司,2017-12-2,17G071533,HGE-1050-C090,,8,8,8,1050,1.5,2018-4-27,岳阳市平江县开发区天力城旁,,,
泰和金凤公寓,1栋东单元左,广日,乘客电梯,31104306022017080014,,广州广日电梯工业有限公司,2017-8-15,16360233008,G.WIZ,,20,20,20,825,1.75,2018-3-27,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,2栋东单元左,广日,乘客电梯,31104306022017070013,,广州广日电梯工业有限公司,2017-7-20,16360233007,G.WIZ825-C01.75,,20,20,20,825,1.75,2018-3-27,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,2栋西单元左,广日,乘客电梯,31104306832017050018,,广州广日电梯工业有限公司,2016-11-11,16360233006,G.WIZ825-C01.75,,20,20,20,825,1.75,2018-3-27,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,2栋东单元右,广日,乘客电梯,31104306832017050017,,广州广日电梯工业有限公司,2016-11-11,16360233005,G.Wiz825-C01.75,,20,20,20,825,1.75,2018-3-27,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,1栋西单元右,广日,乘客电梯,31104306022017080013,,广州广日电梯工业有限公司,2017-8-15,16360233004,G.WIZ,,20,20,20,825,1.75,2018-3-27,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,2栋西单元右,广日,乘客电梯,31104306022017070014,,广州广日电梯工业有限公司,2017-7-21,16360233003,G.Wiz825-C01.75,,20,20,20,825,1.75,2018-3-27,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,1栋东单元右,广日,乘客电梯,31104306022017070015,,广州广日电梯工业有限公司,2016-11-11,16360233002,G.Wiz825-C01.75,,20,20,20,825,1.75,2018-3-27,岳阳楼区巴陵东路高铁站旁,,,
泰和金凤公寓,1栋西单元左,广日,乘客电梯,31104306022017070016,,广州广日电梯工业有限公司,2016-11-11,16360233001,G.Wiz825-C01.75,,20,20,20,825,1.75,2018-3-27,岳阳楼区巴陵东路高铁站旁,,,
大汉新城,28栋1单元左,广日,乘客电梯,31104306032014080023,,广州广日电梯工业有限公司,2013-12-10,13173533038,G.Wiz825-C01.75,,17,17,17,825,1.75,2017-11-23,岳阳市区溪区杨冲路,,,
大汉新城,28栋1单元右,广日,乘客电梯,31104306032014080024,,广州广日电梯工业有限公司,2013-12-10,13173533039,G.Wiz1050-C01.75,,17,17,17,1050,1.75,2017-11-23,岳阳市区溪区杨冲路,,,
大汉新城,28栋2单元右,广日,乘客电梯,31104306032014060016,,广州广日电梯工业有限公司,2013-12-10,13173533037,G.Wiz825-C01.75,,17,17,17,825,1.75,2017-11-23,岳阳市区溪区杨冲路,,,
大汉新城,28栋2单元左,广日,乘客电梯,31104306032014080025,,广州广日电梯工业有限公司,2013-12-10,13173533040,G.Wiz1050-C01.75,,17,17,17,1050,1.75,2017-11-23,岳阳市区溪区杨冲路,,,
云溪人民医院,1栋西厅右梯,广日,乘客电梯,31104306032017080003,,广州广日电梯工业有限公司,2017-7-12,17065535001,G.Wiz-B,,6,6,6,1050,1.75,2018-4-4,岳阳市云溪区开泰路,,,
云溪人民医院,1栋西厅左梯,广日,乘客电梯,31104306002017080003,,广州广日电梯工业有限公司,2017-11-6,17065535002,G.Wiz-B,,7,7,7,1600,1.75,2018-4-4,岳阳市云溪区开泰路,,,
云溪人民医院,1栋东厅左梯,广日,乘客电梯,31104306032017080004,,广州广日电梯工业有限公司,2017-7-12,17065535003,G.Wiz-B,,6,6,6,1600,1.75,2018-4-4,岳阳市云溪区开泰路,,,
云溪人民医院,1栋东厅单梯,广日,乘客电梯,31104306002017080005,,广州广日电梯工业有限公司,2017-7-12,17065535006,G.Wiz-B,,5,5,5,1600,1.75,2018-4-4,岳阳市云溪区开泰路,,,
云溪人民医院,1栋西厅单梯,广日,乘客电梯,31104306002017080004,,广州广日电梯工业有限公司,2017-7-12,17065535005,G.Wiz-B,,6,6,6,1600,1.75,2018-4-4,岳阳市云溪区开泰路,,,
云溪人民医院,1栋东厅右梯,广日,乘客电梯,31104306002017080011,,广州广日电梯工业有限公司,2017-7-12,17065535004,G.Wiz-B,,6,6,6,1600,1.75,2018-4-4,岳阳市云溪区开泰路,,,
云溪人民医院,1栋西厅中梯,广日,乘客电梯,31104306032017080002,,广州广日电梯工业有限公司,2017-11-6,17065533001,MAX-E,,6,6,6,1050,1.75,2018-4-4,岳阳市云溪区开泰路,,,
朱宝贵,住宅楼1#,广日,乘客电梯,31104306262017050001,,广州广日电梯工业有限公司,2017-2-1,16360433004,MAX-E630-C01.0,,7,7,7,630,1,2018-1-2,平江县浯口镇浯口达道16号,,,
大汉新城,大汉新城11栋东单元,永大,乘客电梯,31104306032013060011,,上海永大电梯设备有限公司,2013-5-10,3U56374,IQP-1000*12/12-C0090,,12,12,12,1000,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
大汉新城,大汉新城11栋西单元,永大,乘客电梯,31104306032013060010,,上海永大电梯设备有限公司,2013-5-10,3U56373,IQP-1000*12/12-C0090,,12,12,12,1000,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
大汉新城,大汉新城10栋东单元,永大,乘客电梯,31104306032013060009,,上海永大电梯设备有限公司,2013-5-10,3U56372,IQP-1000*12/12-C0090,,12,12,12,1000,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
大汉新城,大汉新城10栋西单元,永大,乘客电梯,31104306032013060008,,上海永大电梯设备有限公司,2013-5-10,3U56371,IQP-1000*12/12-C0090,,12,12,12,1000,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
大汉新城,大汉新城9栋东单元,永大,乘客电梯,31104306032013060007,,上海永大电梯设备有限公司,2013-5-10,3U56370,IQP-1000*12/12-C0090,,12,12,12,1000,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
大汉新城,大汉新城9栋西单元,永大,乘客电梯,31104306032013060006,,上海永大电梯设备有限公司,2013-5-10,3U56369,IQP-1000*12/12-C0090,,12,12,12,1000,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
大汉新城,大汉新城2栋东单元,永大,乘客电梯,31104306032013060005,,上海永大电梯设备有限公司,2013-5-10,3U56368,IQP-825*12/12-C0090,,12,12,12,825,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
大汉新城,大汉新城2栋西单元,永大,乘客电梯,31104306032013060004,,上海永大电梯设备有限公司,2013-5-10,3U56367,IQP-825*12/12-C0090,,12,12,12,825,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
大汉新城,大汉新城1栋东单元,永大,乘客电梯,31104306032013060003,,上海永大电梯设备有限公司,2013-5-10,3U56366,IQP-825*12/12-C0090,,12,12,12,825,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
大汉新城,大汉新城1栋西单元,永大,乘客电梯,31104306032013060002,,上海永大电梯设备有限公司,2013-5-10,3U56365,IQP-825*12/12-C0090,,12,12,12,825,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
大汉新城,大汉新城8栋东单元,永大,乘客电梯,31104306032013030010,,上海永大电梯设备有限公司,2013-2-19,2U51088,IQP-1000*11/11-C0090,,11,11,11,1000,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
大汉新城,大汉新城8栋西单元,永大,乘客电梯,31104306032013030009,,上海永大电梯设备有限公司,2013-2-19,2U51087,IQP-1000*11/11-C0090,,11,11,11,1000,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
大汉新城,大汉新城7栋东单元,永大,乘客电梯,31104306032013030008,,上海永大电梯设备有限公司,2013-2-19,2U51086,IQP-1000*9/9-C0090,,9,9,9,1000,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
大汉新城,大汉新城7栋西单元,永大,乘客电梯,31104306032013030007,,上海永大电梯设备有限公司,2013-2-19,2U51085,IQP-1000*9/9-C0090,,9,9,9,1000,1.5,2018-2-28,岳阳市云溪区杨冲路,,,
